"","char_id","char_name","uni_id","uni_name","question","personality","avg_rating","rating_sd","number_ratings"
"1","ALA1","Aang","ALA","Avatar: The Last Airbender","motivated/unmotivated","motivated",88,17.4,65
"2","ALA1","Aang","ALA","Avatar: The Last Airbender","flexible/rigid","flexible",85.6,17.9,476
"3","ALA1","Aang","ALA","Avatar: The Last Airbender","lenient/strict","lenient",83,16.9,572
"4","ALA1","Aang","ALA","Avatar: The Last Airbender","deliberate/spontaneous","spontaneous",82.9,18.9,474
"5","ALA1","Aang","ALA","Avatar: The Last Airbender","overachiever/underachiever","overachiever",76.4,24.9,110
"6","ALA1","Aang","ALA","Avatar: The Last Airbender","competitive/cooperative","cooperative",76.2,26.6,548
"7","ALA1","Aang","ALA","Avatar: The Last Airbender","mischievous/well behaved","mischievous",70.9,25.1,483
"8","ALA1","Aang","ALA","Avatar: The Last Airbender","perceptive/unobservant","perceptive",67.8,26.8,93
"9","ALA1","Aang","ALA","Avatar: The Last Airbender","assertive/passive","passive",65.7,28.9,518
"10","ALA1","Aang","ALA","Avatar: The Last Airbender","dominant/submissive","submissive",59,24.8,495
"11","ALA1","Aang","ALA","Avatar: The Last Airbender","anxious/calm","calm",58.7,27,477
"12","ALA1","Aang","ALA","Avatar: The Last Airbender","neutral/opinionated","neutral",57.9,33.6,144
"13","ALA1","Aang","ALA","Avatar: The Last Airbender","precise/vague","vague",56.1,27,338
"14","ALA1","Aang","ALA","Avatar: The Last Airbender","disorganized/self-disciplined","self-disciplined",53.7,29.9,489
"15","ALA1","Aang","ALA","Avatar: The Last Airbender","impatient/patient","impatient",50.8,34,240
"16","ALA2","Zuko","ALA","Avatar: The Last Airbender","motivated/unmotivated","motivated",89.2,20.6,65
"17","ALA2","Zuko","ALA","Avatar: The Last Airbender","impatient/patient","impatient",83,18.8,233
"18","ALA2","Zuko","ALA","Avatar: The Last Airbender","overachiever/underachiever","overachiever",82.4,23.4,117
"19","ALA2","Zuko","ALA","Avatar: The Last Airbender","lenient/strict","strict",80.9,17.3,542
"20","ALA2","Zuko","ALA","Avatar: The Last Airbender","competitive/cooperative","competitive",80.3,21.5,523
