"","year","animal_type","outcome","state_territory","count"
"1",1999,"Dogs","Reclaimed","ACT",610
"2",1999,"Dogs","Reclaimed","NSW",3140
"3",1999,"Dogs","Reclaimed","NT",205
"4",1999,"Dogs","Reclaimed","QLD",1392
"5",1999,"Dogs","Reclaimed","SA",2329
"6",1999,"Dogs","Reclaimed","TAS",516
"7",1999,"Dogs","Reclaimed","VIC",7130
"8",1999,"Dogs","Reclaimed","WA",1
"9",1999,"Dogs","Rehomed","ACT",1245
"10",1999,"Dogs","Rehomed","NSW",7525
"11",1999,"Dogs","Rehomed","NT",526
"12",1999,"Dogs","Rehomed","QLD",5489
"13",1999,"Dogs","Rehomed","SA",1105
"14",1999,"Dogs","Rehomed","TAS",480
"15",1999,"Dogs","Rehomed","VIC",4908
"16",1999,"Dogs","Rehomed","WA",137
"17",1999,"Dogs","Other","ACT",12
"18",1999,"Dogs","Other","NSW",745
"19",1999,"Dogs","Other","NT",955
"20",1999,"Dogs","Other","QLD",860
"21",1999,"Dogs","Other","SA",380
"22",1999,"Dogs","Other","TAS",168
"23",1999,"Dogs","Other","VIC",1001
"24",1999,"Dogs","Other","WA",6
"25",1999,"Dogs","Euthanized","ACT",360
"26",1999,"Dogs","Euthanized","NSW",9221
"27",1999,"Dogs","Euthanized","NT",9
"28",1999,"Dogs","Euthanized","QLD",9214
"29",1999,"Dogs","Euthanized","SA",1701
"30",1999,"Dogs","Euthanized","TAS",599
"31",1999,"Dogs","Euthanized","VIC",5217
"32",1999,"Dogs","Euthanized","WA",18
"33",1999,"Cats","Reclaimed","ACT",111
"34",1999,"Cats","Reclaimed","NSW",201
"35",1999,"Cats","Reclaimed","NT",22
"36",1999,"Cats","Reclaimed","QLD",206
"37",1999,"Cats","Reclaimed","SA",157
"38",1999,"Cats","Reclaimed","TAS",31
"39",1999,"Cats","Reclaimed","VIC",884
"40",1999,"Cats","Reclaimed","WA",0
"41",1999,"Cats","Rehomed","ACT",1442
"42",1999,"Cats","Rehomed","NSW",3913
"43",1999,"Cats","Rehomed","NT",269
"44",1999,"Cats","Rehomed","QLD",3901
"45",1999,"Cats","Rehomed","SA",1055
"46",1999,"Cats","Rehomed","TAS",752
"47",1999,"Cats","Rehomed","VIC",3768
"48",1999,"Cats","Rehomed","WA",62
"49",1999,"Cats","Other","ACT",0
"50",1999,"Cats","Other","NSW",447
"51",1999,"Cats","Other","NT",0
"52",1999,"Cats","Other","QLD",386
"53",1999,"Cats","Other","SA",46
"54",1999,"Cats","Other","TAS",124
"55",1999,"Cats","Other","VIC",1501
"56",1999,"Cats","Other","WA",5
"57",1999,"Cats","Euthanized","ACT",1007
"58",1999,"Cats","Euthanized","NSW",8205
"59",1999,"Cats","Euthanized","NT",847
"60",1999,"Cats","Euthanized","QLD",10554
"61",1999,"Cats","Euthanized","SA",3415
"62",1999,"Cats","Euthanized","TAS",1056
"63",1999,"Cats","Euthanized","VIC",6113
"64",1999,"Cats","Euthanized","WA",5
"65",1999,"Horses","Reclaimed","ACT",0
"66",1999,"Horses","Reclaimed","NSW",0
"67",1999,"Horses","Reclaimed","NT",1
"68",1999,"Horses","Reclaimed","QLD",0
"69",1999,"Horses","Reclaimed","SA",2
"70",1999,"Horses","Reclaimed","TAS",1
"71",1999,"Horses","Reclaimed","VIC",87
"72",1999,"Horses","Reclaimed","WA",0
"73",1999,"Horses","Rehomed","ACT",1
"74",1999,"Horses","Rehomed","NSW",12
"75",1999,"Horses","Rehomed","NT",3
"76",1999,"Horses","Rehomed","QLD",3
"77",1999,"Horses","Rehomed","SA",10
"78",1999,"Horses","Rehomed","TAS",0
"79",1999,"Horses","Rehomed","VIC",19
"80",1999,"Horses","Rehomed","WA",0
"81",1999,"Horses","Other","ACT",0
"82",1999,"Horses","Other","NSW",0
"83",1999,"Horses","Other","NT",0
"84",1999,"Horses","Other","QLD",11
"85",1999,"Horses","Other","SA",1
"86",1999,"Horses","Other","TAS",2
"87",1999,"Horses","Other","VIC",0
"88",1999,"Horses","Other","WA",0
"89",1999,"Horses","Euthanized","ACT",0
"90",1999,"Horses","Euthanized","NSW",8
"91",1999,"Horses","Euthanized","NT",0
"92",1999,"Horses","Euthanized","QLD",1
"93",1999,"Horses","Euthanized","SA",0
"94",1999,"Horses","Euthanized","TAS",0
"95",1999,"Horses","Euthanized","VIC",4
"96",1999,"Horses","Euthanized","WA",0
"97",1999,"Livestock","Reclaimed","ACT",2
"98",1999,"Livestock","Reclaimed","NSW",15
"99",1999,"Livestock","Reclaimed","NT",0
"100",1999,"Livestock","Reclaimed","QLD",9
"101",1999,"Livestock","Reclaimed","SA",13
"102",1999,"Livestock","Reclaimed","TAS",1
"103",1999,"Livestock","Reclaimed","VIC",418
"104",1999,"Livestock","Reclaimed","WA",0
"105",1999,"Livestock","Rehomed","ACT",90
"106",1999,"Livestock","Rehomed","NSW",719
"107",1999,"Livestock","Rehomed","NT",120
"108",1999,"Livestock","Rehomed","QLD",88
"109",1999,"Livestock","Rehomed","SA",61
"110",1999,"Livestock","Rehomed","TAS",25
"111",1999,"Livestock","Rehomed","VIC",315
"112",1999,"Livestock","Rehomed","WA",3
"113",1999,"Livestock","Other","ACT",39
"114",1999,"Livestock","Other","NSW",15
"115",1999,"Livestock","Other","NT",0
"116",1999,"Livestock","Other","QLD",217
"117",1999,"Livestock","Other","SA",2
"118",1999,"Livestock","Other","TAS",6
"119",1999,"Livestock","Other","VIC",18
"120",1999,"Livestock","Other","WA",0
"121",1999,"Livestock","Euthanized","ACT",9
"122",1999,"Livestock","Euthanized","NSW",49
"123",1999,"Livestock","Euthanized","NT",0
"124",1999,"Livestock","Euthanized","QLD",109
"125",1999,"Livestock","Euthanized","SA",54
"126",1999,"Livestock","Euthanized","TAS",2
"127",1999,"Livestock","Euthanized","VIC",179
"128",1999,"Livestock","Euthanized","WA",0
"129",1999,"Wildlife","Released","ACT",390
"130",1999,"Wildlife","Released","NSW",26
"131",1999,"Wildlife","Released","NT",6
"132",1999,"Wildlife","Released","QLD",1461
"133",1999,"Wildlife","Released","SA",175
"134",1999,"Wildlife","Released","TAS",66
"135",1999,"Wildlife","Released","VIC",4582
"136",1999,"Wildlife","Released","WA",0
"137",1999,"Wildlife","Other","ACT",173
"138",1999,"Wildlife","Other","NSW",597
"139",1999,"Wildlife","Other","NT",32
"140",1999,"Wildlife","Other","QLD",0
"141",1999,"Wildlife","Other","SA",446
"142",1999,"Wildlife","Other","TAS",127
"143",1999,"Wildlife","Other","VIC",2081
"144",1999,"Wildlife","Other","WA",0
"145",1999,"Wildlife","Euthanized","ACT",746
"146",1999,"Wildlife","Euthanized","NSW",181
"147",1999,"Wildlife","Euthanized","NT",50
"148",1999,"Wildlife","Euthanized","QLD",1305
"149",1999,"Wildlife","Euthanized","SA",861
"150",1999,"Wildlife","Euthanized","TAS",75
"151",1999,"Wildlife","Euthanized","VIC",1629
"152",1999,"Wildlife","Euthanized","WA",0
"153",1999,"Other Animals","Reclaimed","ACT",31
